Rack1_PowerContactor_CH2_EDM,POE\Main\LaserSafety.GB,10,IN,79,56,Read,,SAFEBOOL,SIX20.1,,VAR_GLOBAL,GLOBAL,,
Rack2_PowerContactor_CH1,POE\Main\LaserSafety.GB,14,IN,162,37,Read,,SAFEBOOL,SQX6.0,,VAR_GLOBAL,GLOBAL,,
Rack2_PowerContactor_CH1,POE\Main\LaserSafety.GB,15,OUT,106,0,Write,,SAFEBOOL,SQX6.0,,VAR_GLOBAL,GLOBAL,,
Rack2_PowerContactor_CH1,POE\Main\LaserSafety.GB,25,IN,168,61,Read,,SAFEBOOL,SQX6.0,,VAR_GLOBAL,GLOBAL,,
Rack2_PowerContactor_CH1_EDM,POE\Main\LaserSafety.GB,14,IN,104,52,Read,,SAFEBOOL,SIX24.0,,VAR_GLOBAL,GLOBAL,,
Rack2_PowerContactor_CH2,POE\Main\LaserSafety.GB,14,IN,163,37,Read,,SAFEBOOL,SQX6.1,,VAR_GLOBAL,GLOBAL,,
Rack2_PowerContactor_CH2,POE\Main\LaserSafety.GB,15,OUT,107,0,Write,,SAFEBOOL,SQX6.1,,VAR_GLOBAL,GLOBAL,,
Rack2_PowerContactor_CH2_EDM,POE\Main\LaserSafety.GB,14,IN,105,52,Read,,SAFEBOOL,SIX24.1,,VAR_GLOBAL,GLOBAL,,
Rack3_PowerContactor_CH1,POE\Main\LaserSafety.GB,15,OUT,128,0,Write,,SAFEBOOL,SQX8.0,,VAR_GLOBAL,GLOBAL,,
Rack3_PowerContactor_CH1,POE\Main\LaserSafety.GB,18,IN,164,38,Read,,SAFEBOOL,SQX8.0,,VAR_GLOBAL,GLOBAL,,
Rack3_PowerContactor_CH1,POE\Main\LaserSafety.GB,25,IN,169,61,Read,,SAFEBOOL,SQX8.0,,VAR_GLOBAL,GLOBAL,,
Rack3_PowerContactor_CH1_EDM,POE\Main\LaserSafety.GB,18,IN,126,53,Read,,SAFEBOOL,SIX28.0,,VAR_GLOBAL,GLOBAL,,
Rack3_PowerContactor_CH2,POE\Main\LaserSafety.GB,18,IN,165,38,Read,,SAFEBOOL,SQX8.1,,VAR_GLOBAL,GLOBAL,,
Rack3_PowerContactor_CH2,POE\Main\LaserSafety.GB,19,OUT,129,0,Write,,SAFEBOOL,SQX8.1,,VAR_GLOBAL,GLOBAL,,
Rack3_PowerContactor_CH2_EDM,POE\Main\LaserSafety.GB,18,IN,127,53,Read,,SAFEBOOL,SIX28.1,,VAR_GLOBAL,GLOBAL,,
Rack4_PowerContactor_CH1,POE\Main\LaserSafety.GB,19,OUT,150,0,Write,,SAFEBOOL,SQX10.0,,VAR_GLOBAL,GLOBAL,,
Rack4_PowerContactor_CH1,POE\Main\LaserSafety.GB,22,IN,166,37,Read,,SAFEBOOL,SQX10.0,,VAR_GLOBAL,GLOBAL,,
Rack4_PowerContactor_CH1,POE\Main\LaserSafety.GB,25,IN,170,62,Read,,SAFEBOOL,SQX10.0,,VAR_GLOBAL,GLOBAL,,
Rack4_PowerContactor_CH1_EDM,POE\Main\LaserSafety.GB,18,IN,148,52,Read,,SAFEBOOL,SIX32.0,,VAR_GLOBAL,GLOBAL,,
Rack4_PowerContactor_CH2,POE\Main\LaserSafety.GB,19,OUT,151,0,Write,,SAFEBOOL,SQX10.1,,VAR_GLOBAL,GLOBAL,,
Rack4_PowerContactor_CH2,POE\Main\LaserSafety.GB,22,IN,167,37,Read,,SAFEBOOL,SQX10.1,,VAR_GLOBAL,GLOBAL,,
Rack4_PowerContactor_CH2_EDM,POE\Main\LaserSafety.GB,18,IN,149,52,Read,,SAFEBOOL,SIX32.1,,VAR_GLOBAL,GLOBAL,,
SM2_OK,POE\Main\EStopMonitoring.GB,5,IN,114,81,Read,,SAFEBOOL,SIX4.0,,VAR_GLOBAL,GLOBAL,,
SM2_OK,POE\Main\EStopMonitoring.GB,5,IN,113,81,Read,,SAFEBOOL,SIX4.0,,VAR_GLOBAL,GLOBAL,,
SM41_OK,POE\Main\LaserSafety.GB,5,IN,625,67,Read,,SAFEBOOL,SIX4.1,,VAR_GLOBAL,GLOBAL,,
SM41_Release,POE\Main\LaserSafety.GB,7,OUT,621,24,Write,,BOOL,NSQX21.0,,VAR_GLOBAL,GLOBAL,,
SM42_OK,POE\Main\LaserSafety.GB,5,IN,626,66,Read,,SAFEBOOL,SIX4.2,,VAR_GLOBAL,GLOBAL,,
SM42_Release,POE\Main\LaserSafety.GB,7,OUT,622,24,Write,,BOOL,NSQX22.0,,VAR_GLOBAL,GLOBAL,,
SM43_OK,POE\Main\LaserSafety.GB,5,IN,627,66,Read,,SAFEBOOL,SIX4.3,,VAR_GLOBAL,GLOBAL,,
SM43_Release,POE\Main\LaserSafety.GB,7,OUT,623,24,Write,,BOOL,NSQX23.0,,VAR_GLOBAL,GLOBAL,,
SM44_OK,POE\Main\LaserSafety.GB,5,IN,628,67,Read,,SAFEBOOL,SIX4.4,,VAR_GLOBAL,GLOBAL,,
SM44_Release,POE\Main\LaserSafety.GB,7,OUT,624,25,Write,,BOOL,NSQX24.0,,VAR_GLOBAL,GLOBAL,,
SM60_OK,POE\Main\EStopMonitoring.GB,5,IN,119,77,Read,,SAFEBOOL,SIX4.5,,VAR_GLOBAL,GLOBAL,,
SM60_OK,POE\Main\EStopMonitoring.GB,9,IN,149,81,Read,,SAFEBOOL,SIX4.5,,VAR_GLOBAL,GLOBAL,,
status_EStopPressed,POE\Main\EStopMonitoring.GB,11,OUT,109,88,Write,,BOOL,NSQX0.2,,VAR_GLOBAL,GLOBAL,,
status_FBK_Diag_EStop,POE\Main\EStopMonitoring.GB,16,OUT,25,61,Write,,WORD,NSQW10,,VAR_GLOBAL,GLOBAL,,
status_FBK_Diag_Laser,C\PLC\R\CPU\global_variables.vbb,0,,65,0,,,WORD,NSQW4,,VAR_GLOBAL,NOT USED,,
status_FBK_Diag_LaserEDM1,POE\Main\LaserSafety.GB,33,OUT,199,0,Write,,WORD,NSQW6,,VAR_GLOBAL,GLOBAL,,
status_FBK_Diag_LaserEDM2,POE\Main\LaserSafety.GB,33,OUT,203,0,Write,,WORD,NSQW8,,VAR_GLOBAL,GLOBAL,,
status_FBK_Diag_LaserEDM3,POE\Main\LaserSafety.GB,33,OUT,204,0,Write,,WORD,NSQW12,,VAR_GLOBAL,GLOBAL,,
status_FBK_Diag_LaserEDM4,POE\Main\LaserSafety.GB,33,OUT,205,0,Write,,WORD,NSQW14,,VAR_GLOBAL,GLOBAL,,
status_FBK_Error_EStop,POE\Main\EStopMonitoring.GB,14,OUT,24,0,Write,,BOOL,NSQX0.3,,VAR_GLOBAL,GLOBAL,,
status_FBK_Error_Laser,C\PLC\R\CPU\global_variables.vbb,0,,58,0,,,BOOL,NSQX0.5,,VAR_GLOBAL,NOT USED,,
status_FBK_Error_LaserEDM,POE\Main\LaserSafety.GB,30,OUT,197,70,Write,,BOOL,NSQX0.6,,VAR_GLOBAL,GLOBAL,,
status_FBKERR_LaserEDM1,POE\Main\LaserSafety.GB,33,OUT,210,0,Write,,BOOL,NSQX0.7,,VAR_GLOBAL,GLOBAL,,
status_FBKERR_LaserEDM2,POE\Main\LaserSafety.GB,33,OUT,211,0,Write,,BOOL,NSQX1.0,,VAR_GLOBAL,GLOBAL,,
status_FBKERR_LaserEDM3,POE\Main\LaserSafety.GB,33,OUT,212,0,Write,,BOOL,NSQX1.1,,VAR_GLOBAL,GLOBAL,,
status_FBKERR_LaserEDM4,POE\Main\LaserSafety.GB,33,OUT,213,0,Write,,BOOL,NSQX1.2,,VAR_GLOBAL,GLOBAL,,
status_SafetyProgramRevision,C\PLC\R\CPU\global_variables.vbb,0,,52,0,,,WORD,NSQW2,,VAR_GLOBAL,NOT USED,,
status_SafetyReset_EStops,POE\Main\EStopMonitoring.GB,7,OUT,15,0,Write,,BOOL,NSQX0.1,,VAR_GLOBAL,GLOBAL,,
status_SafetyReset_Lasers,POE\Main\LaserSafety.GB,23,OUT,82,0,Write,,BOOL,NSQX0.4,,VAR_GLOBAL,GLOBAL,,
status_SafetySystemReady,POE\Main\LaserSafety.GB,7,OUT,642,55,Write,,BOOL,NSQX0.0,,VAR_GLOBAL,GLOBAL,,
