Rack2Enabled,POE\Main\LaserSafety.GB,1,OUT,178,7,Write,,BOOL,,,VAR,LOCAL,,
Rack2Enabled,POE\Main\LaserSafety.GB,13,IN,182,52,Read,,BOOL,,,VAR,LOCAL,,
Rack2Enabled,POE\Main\LaserSafety.GB,25,IN,186,14,Read,,BOOL,,,VAR,LOCAL,,
Rack2Enabled,POE\Main\LaserSafety.GB,29,IN,189,34,Read,,BOOL,,,VAR,LOCAL,,
Rack3Enabled,POE\Main\LaserSafety.GB,1,OUT,179,2,Write,,BOOL,,,VAR,LOCAL,,
Rack3Enabled,POE\Main\LaserSafety.GB,17,IN,183,54,Read,,BOOL,,,VAR,LOCAL,,
Rack3Enabled,POE\Main\LaserSafety.GB,25,IN,190,16,Read,,BOOL,,,VAR,LOCAL,,
Rack3Enabled,POE\Main\LaserSafety.GB,29,IN,191,34,Read,,BOOL,,,VAR,LOCAL,,
Rack4Enabled,POE\Main\LaserSafety.GB,1,OUT,180,5,Write,,BOOL,,,VAR,LOCAL,,
Rack4Enabled,POE\Main\LaserSafety.GB,17,IN,184,54,Read,,BOOL,,,VAR,LOCAL,,
Rack4Enabled,POE\Main\LaserSafety.GB,25,IN,187,19,Read,,BOOL,,,VAR,LOCAL,,
Rack4Enabled,POE\Main\LaserSafety.GB,29,IN,192,34,Read,,BOOL,,,VAR,LOCAL,,
RackEnableBits,POE\Main\LaserSafety.GB,0,,451,55,,,,,,VAR,FB,,
SF_EDM_ContactorLaserRack1,POE\Main\LaserSafety.GB,8,,433,92,,,,,,VAR,FB,,
SF_EDM_ContactorLaserRack2,POE\Main\LaserSafety.GB,12,,439,88,,,,,,VAR,FB,,
SF_EDM_ContactorLaserRack3,POE\Main\LaserSafety.GB,12,,443,89,,,,,,VAR,FB,,
SF_EDM_ContactorLaserRack4,POE\Main\LaserSafety.GB,16,,447,88,,,,,,VAR,FB,,
SF_EDM_SafetyRelayVFLCR1,POE\Main\LaserSafety.GB,8,,435,69,,,,,,VAR,FB,,
SF_EDM_SafetyRelayVFLCR2,POE\Main\LaserSafety.GB,12,,440,65,,,,,,VAR,FB,,
SF_EDM_SafetyRelayVFLCR3,POE\Main\LaserSafety.GB,16,,444,66,,,,,,VAR,FB,,
SF_EDM_SafetyRelayVFLCR4,POE\Main\LaserSafety.GB,20,,448,65,,,,,,VAR,FB,,
SF_EStop_ControlStation,POE\Main\EStopMonitoring.GB,4,,94,93,,,,,,VAR,FB,,
SF_EStop_HandHeld,POE\Main\EStopMonitoring.GB,4,,91,93,,,,,,VAR,FB,,
SF_GuardMonitoring_BAT,POE\Main\EStopMonitoring.GB,4,,132,90,,,,,,VAR,FB,,
SF_GuardMonitoring_BAT2,POE\Main\EStopMonitoring.GB,8,,147,94,,,,,,VAR,FB,,
TON_S_DelayVFLCRSafety1,POE\Main\LaserSafety.GB,8,,438,8,,,,,,VAR,FB,,
TON_S_DelayVFLCRSafety2,POE\Main\LaserSafety.GB,12,,442,4,,,,,,VAR,FB,,
TON_S_DelayVFLCRSafety3,POE\Main\LaserSafety.GB,16,,446,5,,,,,,VAR,FB,,
TON_S_DelayVFLCRSafety4,POE\Main\LaserSafety.GB,20,,450,4,,,,,,VAR,FB,,
